 ,Area,Mean,Min,Max,X,Y
1,0,123,123,123,1394.674,4014.504
2,0,88,88,88,1394.674,3490.538
3,0,112,112,112,1818.470,292.804
4,0,253,253,253,1841.586,346.742
5,0,198,198,198,1880.113,408.385
6,0,206,206,206,1880.113,508.555
7,0,114,114,114,1880.113,616.431
8,0,203,203,203,1864.702,732.011
9,0,174,174,174,1864.702,870.708
10,0,179,179,179,1864.702,1001.700
11,0,242,242,242,1864.702,1109.575
12,0,221,221,221,1864.702,1248.272
13,0,103,103,103,1864.702,1356.147
14,0,117,117,117,1864.702,1510.255
15,0,92,92,92,1856.997,1641.246
16,0,83,83,83,1833.881,1779.943
17,0,104,104,104,1818.470,1934.051
18,0,101,101,101,1818.470,2041.926
19,0,198,198,198,1818.470,2180.623
20,0,214,214,214,1849.292,2319.320
21,0,83,83,83,1910.935,2388.668
22,0,97,97,97,1964.873,2465.722
23,0,73,73,73,2026.516,2535.071
24,0,100,100,100,2103.569,2596.714
25,0,101,101,101,2196.034,2673.768
26,0,84,84,84,2257.677,2750.822
27,0,83,83,83,2303.909,2850.991
28,0,83,83,83,2296.204,2912.635
29,0,75,75,75,2273.088,2981.983
30,0,82,82,82,2273.088,3051.332
31,0,85,85,85,2319.320,3159.207
32,0,208,208,208,2334.731,3243.966
33,0,72,72,72,2327.025,3351.841
34,0,68,68,68,2257.677,3428.895
35,0,120,120,120,2226.855,3505.949
36,0,71,71,71,2211.445,3613.824
37,0,76,76,76,2242.266,3721.700
38,0,75,75,75,2280.793,3875.807
39,0,69,69,69,2296.204,3991.388
40,0,71,71,71,2319.320,4091.558
41,0,70,70,70,2350.142,4207.139
42,0,211,211,211,2365.552,4307.309
43,0,207,207,207,2350.142,4392.068
44,0,62,62,62,2342.436,4484.532
45,0,223,223,223,2334.731,4623.229
46,0,90,90,90,2342.436,4738.811
47,0,91,91,91,2350.142,4846.686
48,0,69,69,69,2350.142,4931.444
49,0,75,75,75,2273.088,5039.320
50,0,62,62,62,2219.150,5085.553
51,0,50,50,50,2157.507,5131.785
52,0,63,63,63,2126.686,5170.312
53,0,55,55,55,2080.453,5270.481
54,0,62,62,62,2049.632,5332.125
55,0,64,64,64,2003.399,5393.768
56,0,61,61,61,1972.578,5440.000
57,0,56,56,56,1872.408,5440.000
58,0,69,69,69,1772.238,5424.589
59,0,41,41,41,1664.363,5401.473
60,0,38,38,38,1548.782,5378.357
61,0,83,83,83,1440.906,5370.651
62,0,201,201,201,1325.326,5393.768
63,0,179,179,179,1248.272,5424.589
64,0,95,95,95,1194.334,5463.116
65,0,188,188,188,1101.870,5478.527
66,0,66,66,66,1040.227,5501.643
67,0,93,93,93,970.878,5478.527
68,0,153,153,153,909.235,5386.062
69,0,207,207,207,855.297,5324.419
70,0,205,205,205,778.244,5278.187
71,0,192,192,192,685.779,5262.776
72,0,201,201,201,624.136,5262.776
73,0,192,192,192,562.493,5208.839
74,0,63,63,63,508.555,5147.195
75,0,107,107,107,470.028,5039.320
76,0,61,61,61,431.501,4923.739
77,0,55,55,55,431.501,4808.158
78,0,106,106,106,431.501,4707.988
79,0,68,68,68,416.091,4615.524
80,0,72,72,72,416.091,4538.471
81,0,63,63,63,416.091,4438.300
82,0,62,62,62,431.501,4330.425
83,0,212,212,212,454.618,4230.255
84,0,66,66,66,477.734,4137.790
85,0,66,66,66,500.850,4068.442
86,0,221,221,221,539.377,3991.388
87,0,225,225,225,547.082,3914.334
88,0,218,218,218,516.261,3837.281
89,0,251,251,251,516.261,3760.227
90,0,214,214,214,523.966,3675.468
91,0,95,95,95,547.082,3583.003
92,0,236,236,236,570.198,3505.949
93,0,89,89,89,601.020,3421.190
94,0,127,127,127,608.725,3328.725
95,0,82,82,82,608.725,3236.261
96,0,229,229,229,647.252,3128.385
97,0,125,125,125,670.368,3043.626
98,0,216,216,216,685.779,2958.867
99,0,221,221,221,670.368,2874.108
100,0,94,94,94,724.306,2766.232
101,0,92,92,92,778.244,2681.473
102,0,93,93,93,863.003,2589.009
103,0,88,88,88,932.351,2535.071
104,0,89,89,89,1017.110,2465.722
105,0,91,91,91,1086.459,2388.668
106,0,109,109,109,1140.397,2265.382
107,0,90,90,90,1171.218,2149.802
108,0,243,243,243,1217.450,2049.632
109,0,97,97,97,1263.683,1910.935
110,0,95,95,95,1294.504,1803.059
111,0,176,176,176,1325.326,1679.773
112,0,103,103,103,1348.442,1541.077
113,0,189,189,189,1386.969,1448.612
114,0,115,115,115,1425.496,1325.326
115,0,189,189,189,1456.317,1217.450
116,0,154,154,154,1471.728,1117.281
117,0,109,109,109,1502.550,1009.405
118,0,244,244,244,1541.076,901.530
119,0,148,148,148,1579.604,770.538
120,0,249,249,249,1610.425,670.368
121,0,110,110,110,1648.952,577.904
122,0,123,123,123,1695.184,470.028
123,0,145,145,145,1741.417,392.974
